"id","left","top","right","bottom","row_index","col_index","API_18","API_19","Temp_18","Temp_19","Humidity_18","Humidity_19","Precip_18","Precip_19","Wind_18","Wind_19","Vegetation_18","Vegetation_19","Traffic_18","Traffic_19","Building","Altitude","Population_18","Population_19","API_17","Temp_17","Humidity_17","Precip_17","Wind_17","Vegetation_17","Traffic_17","Population_17"
1,100.119736916,6.721694625,100.258300980606,6.601694625,0,0,32.9849717318229,51.6589411608935,28.1178216647464,27.9199256474125,83.7061000925849,84.3910665143431,5.47918678661463,7.38611384621031,13.399430463109,15.0838687469262,57482.7514501544,55926.6554539272,18125.1357068494,18111.4218929288,44,173.212121212121,50.9718727203,53.13230867269,27.4852737581585,27.9550977366762,84.1890078916443,3.49482601287581,12.2746679227601,61004.8287284616,17869.6153411145,52.9769130039215
2,100.119736916,6.601694625,100.258300980606,6.481694625,1,0,32.8078468323668,51.3042399047624,28.193507682378,27.9241925795377,83.7488238004071,84.3781636775074,5.46491638809683,7.40744648238734,13.5003675047399,15.1812752122513,35515.5980620255,34253.3212943698,16206.9016973483,16861.1815680265,209,67.8515625,197.335443770635,198.139593153056,27.4230676645262,27.9733985441854,84.3520387965091,3.40687989718708,12.298654551074,37884.5283473054,15954.0613874157,205.036714875509
3,100.119736916,6.481694625,100.258300980606,6.361694625,2,0,32.7954148876649,51.3814661484671,28.2327187568724,27.93742564128,84.0317859569641,84.480928881694,5.37753466971261,7.21689701226813,14.2475616773385,15.6577159269645,18271.4985450956,17423.3971456798,24059.2747110179,19021.7514353952,556,13.7341040462428,652.806858214204,655.094890468636,27.4960568720021,27.9410234203015,84.605658687891,3.25497691821373,12.8836671899648,21707.8144225708,18718.1903053763,678.134219917384
4,100.119736916,6.361694625,100.258300980606,6.241694625,3,0,32.9020008735815,51.7214208061793,28.2588761280264,27.9810193115162,84.2101465028267,84.5155156186817,5.23700449797504,6.87892616823313,15.1520162614714,16.2502850729244,8972.39553643851,8487.09122616069,26336.0949506394,20625.6751877987,238,3.86842105263158,326.200739810769,325.273424237692,27.6219920836133,27.9182295113805,84.7539364199636,3.07689788925975,13.6534667968551,12047.2467109919,20899.7325417412,338.323604642428
5,100.119736916,6.241694625,100.258300980606,6.121694625,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,245.2623624875,227.9663600875,NA,NA,NA,NA,NA,NA,NA,247.579957962036
11,100.119736916,5.521694625,100.258300980606,5.401694625,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,199.02380952381,163.056089550192,166.428184981346,NA,NA,NA,NA,NA,NA,NA,168.604472527137
12,100.119736916,5.401694625,100.258300980606,5.281694625,11,0,35.2599314627811,55.6893737875039,28.586845650672,28.8370399394096,78.4404799997348,80.9650799083933,3.34189296145709,2.64466363394467,15.6647604161857,17.3373853468405,14501.7700807608,14112.9164303628,55899.004922988,51391.1500983396,311,86.0952380952381,568.477971766225,575.00264495,28.2006077782013,28.5386889643491,80.4888379062591,1.73622391388999,15.9188323493049,14677.8035207351,53970.6195904099,585.110004308272
13,100.119736916,5.281694625,100.258300980606,5.161694625,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,95,538.785799668889,516.216248817778,NA,NA,NA,NA,NA,NA,NA,542.92605527242
47,100.223659964454,6.661694625,100.36222402906,6.541694625,0,1,32.9425959134335,51.5905531551766,28.145420730237,27.9206928585478,83.9160684254645,84.4859761425349,5.47080340378808,7.37017554171861,13.7035214105767,15.2458322900343,49390.5531262829,47996.5854815681,21591.761495539,20224.6294766338,131,50.0575539568345,86.5086116592113,88.5007351488943,27.5299650190615,27.9390293843596,84.380678810624,3.44102893743239,12.4594671778791,55925.7754876969,21638.6602245798,90.9977117810451
48,100.223659964454,6.541694625,100.36222402906,6.421694625,1,1,32.8100949834669,51.383358410963,28.2230628819591,27.9317427350478,84.1787607229099,84.5763684709312,5.41950693951498,7.29109713707839,14.2340640873315,15.5936773803391,20665.3794030908,19765.0123934591,25809.4974842268,21714.0165951565,383,28.0397727272727,345.891342559659,344.711135581307,27.5367450664467,27.9294949905622,84.6880670701263,3.29549162919286,12.8221733497887,28689.7636147418,23885.7463817125,358.208898771893
49,100.223659964454,6.421694625,100.36222402906,6.301694625,2,1,32.8147478261152,51.4738367435272,28.2522922428079,27.9472320917997,84.4229285109322,84.672096091556,5.35425349064214,7.14234027053616,14.8120935884252,15.9637798548222,9702.76253876789,9089.55289036879,29699.6827133387,23414.2107435669,347,9.23369565217391,248.061465507027,248.930518819676,27.5949721405789,27.9071075666149,84.8942519285425,3.18279873087822,13.2730924492654,17876.6358316895,26335.7638237253,256.672529189651
50,100.223659964454,6.301694625,100.36222402906,6.181694625,3,1,32.9128822057813,51.7518987794849,28.3134260977741,28.0208140827905,84.561907093793,84.6752370633591,5.20478530870705,6.78918397890437,15.6938195437872,16.5649213760358,1634.31398219864,1388.99677688528,26397.9834675456,22025.6413483486,306,3.91954022988506,231.327768632386,231.707149938636,27.7290939599161,27.9167317611481,85.0450412847047,2.98366287839079,14.0212469031218,5217.2685868863,24120.9844266392,240.225414059379
51,100.223659964454,6.181694625,100.36222402906,6.061694625,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,492,4,970.295933515464,971.40956621134,NA,NA,NA,NA,NA,NA,NA,1007.09085460545
52,100.223659964454,6.061694625,100.36222402906,5.941694625,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,5.125,346.759635236364,361.181149563636,NA,NA,NA,NA,NA,NA,NA,369.768599076705
