"","name","longitude","latitude","temp","humidity","precip","windspeed"
"1","Alor.Gajah , Malaysia",102.212,2.382,27.9033333333333,82.04,5.01803333333333,12.22
"2","Alor.Setar , Malaysia",100.367,6.126,27.8766666666667,85.95,3.01363333333333,14.3466666666667
"3","Balik.Pulau , Malaysia",100.235,5.35,28.6966666666667,79.8233333333333,1.3414,16.4033333333333
"4","Balok.Baru.Kuantan , Malaysia",103.368,3.94,27.63,87.1166666666667,3.37333333333333,14.66
"5","Bandaraya.Melaka , Malaysia",102.25,2.19,27.9,82.1266666666667,5.17,12.34
"6","Banting , Malaysia",101.503,2.812,28.31,78.34,2.4429,12.7433333333333
"7","Batu.Muda , Malaysia",101.548,2.702,28.2433333333333,79.3766666666667,2.0188,13.3466666666667
"8","Batu.Pahat , Malaysia",102.929,1.849,28.3666666666667,80.95,5.31666666666667,12.3433333333333
"9","Besut , Malaysia",102.564,5.795,27.8366666666667,81.09,3.67946666666667,14.0966666666667
"10","Bukit.Rambai , Malaysia",102.189,2.253,27.9033333333333,82.1133333333333,5.12386666666667,12.2866666666667
"11","Cheras , Malaysia",101.726,3.107,28.4766666666667,75.7733333333333,3.6001,14.7966666666667
"12","Indera.Mahkota.Kuantan , Malaysia",103.297,3.821,27.7866666666667,87.1066666666667,3.37333333333333,15.3333333333333
"13","Jerantut , Malaysia",102.362,3.937,27.3633333333333,83.2666666666667,5.56666666666667,4.67333333333333
"14","Kangar , Malaysia",100.198,6.441,28.0133333333333,84.34,3.34556666666667,12.2966666666667
"15","Kemaman , Malaysia",103.425,4.232,26.86,87.2966666666667,3.37333333333333,14.23
"16","Klang , Malaysia",101.445,3.045,28.52,75.2966666666667,3.82033333333333,15.5
"17","Kluang , Malaysia",103.336,2.068,27.61,87.1133333333333,5.97333333333333,13.22
"18","Kota.Bharu , Malaysia",102.239,6.126,27.7466666666667,80.0266666666667,4.3207,16.48
"19","Kota.Tinggi , Malaysia",103.899,1.729,28.1066666666667,82.49,5.5456,13.2166666666667
"20","Kuala.Selangor , Malaysia",101.25,3.34,28.5633333333333,74.8,4.07666666666667,16.3
"21","Kuala.Terengganu , Malaysia",103.141,5.328,28.0566666666667,83.5733333333333,2.36,13.0233333333333
"22","Kulim , Malaysia",100.555,5.372,28.6833333333333,81.2033333333333,1.34596666666667,15.9833333333333
"23","Larkin , Malaysia",103.735,1.492,28.1933333333333,81.8033333333333,5.6203,13.5833333333333
"24","Minden , Malaysia",101.976,4.21,24.1533333333333,87.02,5.42666666666667,13.6
"25","Nilai , Malaysia",101.799,2.802,28.2033333333333,79.92,1.9185,13.5566666666667
"26","Paka , Malaysia",103.44,4.627,26.5333333333333,87.45,4.39,15.9933333333333
"27","Pasir.Gudang , Malaysia",103.903,1.47,28.9733333333333,76.5866666666667,4.70556666666667,15.5166666666667
"28","Pegoh.Ipoh , Malaysia",101.085,4.555,28.0866666666667,79.1433333333333,0.806666666666667,14.81
"29","Pengerang , Malaysia",104.111,1.365,28.67,80.0533333333333,4.6032,15.0666666666667
"30","Petaling.Jaya , Malaysia",101.594,3.128,28.55,74.8533333333333,4.03043333333333,16.17
"31","Port.Dickson , Malaysia",101.796,2.523,28.1666666666667,80.17,2.47193333333333,12.7366666666667
"32","Putrajaya , Malaysia",101.696,2.926,28.3133333333333,78.2533333333333,2.50816666666667,12.75
"33","Rompin , Malaysia",103.486,2.794,27.7933333333333,86.6066666666667,4.21666666666667,16.74
"34","Seberang.Jaya , Malaysia",100.399,5.382,28.7133333333333,81.3533333333333,1.34676666666667,16.1433333333333
"35","Seberang.Perai , Malaysia",100.414,5.37,28.69,81.25,1.3461,16.0333333333333
"36","Segamat , Malaysia",102.821,2.503,27.8866666666667,82.14,5.16666666666667,12.34
"37","Seremban , Malaysia",101.938,2.726,28.1966666666667,79.7,2.43206666666667,12.6866666666667
"38","Seri.Manjung , Malaysia",100.665,4.196,28.1866666666667,84.0733333333333,0.806666666666667,11.6466666666667
"39","Shah.Alam , Malaysia",101.518,3.073,28.5366666666667,74.9233333333333,3.99216666666667,16.0533333333333
"40","Sungai.Petani , Malaysia",100.489,5.644,28.6366666666667,81.7233333333333,1.3473,15.85
"41","Taiping , Malaysia",100.742,4.852,28.2633333333333,80.0733333333333,1.15066666666667,13.4433333333333
"42","Tanah.Merah , Malaysia",102.147,5.809,27.75,80.0133333333333,4.29666666666667,16.56
"43","Tangkak , Malaysia",102.542,2.271,27.9,82.1333333333333,5.19,12.34
"44","Tanjung.Malim , Malaysia",101.52,3.68,28.5633333333333,74.8,4.07666666666667,16.3
"45","Tasek.Ipoh , Malaysia",101.12,4.653,28.0433333333333,79.2766666666667,0.806666666666667,14.6366666666667
"46","Temerloh , Malaysia",102.416,3.449,27.1233333333333,84.8733333333333,5.90333333333333,4.62333333333333
