"","location","lon","lat","2017","2018","2019"
"0","Ipoh , Malaysia",101.0757837,4.6005126,14913,15068,17504
"1","Tanjung Malim (Slim River Toll house) , Malaysia",101.52027,3.679539,14913,15068,17504
"2","Ipoh , Malaysia",101.0757837,4.6005126,27384,28011,25248
"3","Lumut , Malaysia",100.6322198,4.236302,27384,28011,25248
"4","Ipoh , Malaysia",101.0757837,4.6005126,29911,30321,20707
"5","Kampar , Malaysia",101.1536528,4.308504,29911,30321,20707
"6","Sitiawan , Malaysia",100.6978241,4.216825,87006,87711,53711
"7","Gopeng , Malaysia",101.1654029,4.471721,87006,87711,53711
"8","Ipoh , Malaysia",101.0757837,4.6005126,20443,20571,22077
"9","Kuala Kangsar , Malaysia",100.9420448,4.773595,20443,20571,22077
"10","Ipoh , Malaysia",101.0757837,4.6005126,19058,20270,20186
"11","Butterworth , Malaysia",100.388192,5.4380309,19058,20270,20186
"12","Sitiawan , Malaysia",100.6978241,4.216825,9227,9449,9677
"13","Taiping , Malaysia",100.7416339,4.851932,9227,9449,9677
"14","Ipoh , Malaysia",101.0757837,4.6005126,26218,26687,18285
"15","Teluk Intan , Malaysia",101.0206249,4.022424,26218,26687,18285
"16","Simpang Empat , Malaysia",100.3832921,6.02434,26218,26687,18285
"17","Kuala Kangsar , Malaysia",100.9420448,4.773595,2798,2872,2952
"18","Baling , Malaysia",100.9158818,5.673566,2798,2872,2952
"19","Lebuhraya Timur , Malaysia",102.6149296,5.0971979,3923,4028,4164
"20","Barat , Malaysia",102.4380581,3.9743406,3923,4028,4164
"21","Klang , Malaysia",101.4455621,3.044917,47521,47425,63989
"22","Port Klang (Persiaran Raja Muda Musa) , Malaysia",101.4154344,3.0180602,47521,47425,63989
"23","Federal Highway , Malaysia",101.561575,3.0770784,101893,100568,89634
"24","North Klang Straits Bypass , Malaysia",101.4175031,3.0657696,101893,100568,89634
"25","Klang , Malaysia",101.4455621,3.044917,5903,5930,7110
"26","Morib , Malaysia",101.4436451,2.751226,5903,5930,7110
"27","Batu Laut , Malaysia",101.5127475,2.6810134,5903,5930,7110
"28","Kuala Lumpur , Malaysia",101.6944619,3.1499222,21568,21697,22957
"29","Kepong , Malaysia",101.6355931,3.213966,21568,21697,22957
"30","Kuala Selangor , Malaysia",101.2541883,3.3332267,21568,21697,22957
"31","Klang , Malaysia",101.4455621,3.044917,21642,22118,22373
"32","Sabak Bernam , Malaysia",100.9836551,3.769601,21642,22118,22373
"33","Kuala Lumpur , Malaysia",101.6944619,3.1499222,46607,45441,49444
"34","Kajang , Malaysia",101.7874058,2.993518,46607,45441,49444
"35","Telok Datok (Bt 14 Jln Cheras) , Malaysia",101.5205108,2.818977,46607,45441,49444
"36","Kuala Lumpur , Malaysia",101.6944619,3.1499222,13476,13626,15367
"37","Kuala Kubu Bahru Junction , Malaysia",101.658546,3.560932,13476,13626,15367
"38","Jalan Lingkaran Tengah 2 (MRR2) , Malaysia",101.743324,3.1428464,153545,153914,108272
"39","Jalan Kuala Lumpur , Malaysia",101.9121032,3.4925628,18843,19144,21090
"40","Sempadan Kota Bharu , Malaysia",102.2379201,6.1251424,18843,19144,21090
"41","Kuantan , Malaysia",103.3317173,3.8168287,33247,34204,26215
"42","Maran , Malaysia",102.7790651,3.58338,33247,34204,26215
"43","Kuantan , Malaysia",103.3317173,3.8168287,30052,30768,33911
"44","Kemaman (Sg. Ular) , Malaysia",103.3955556,4.0419254,30052,30768,33911
"45","Kuala Lumpur , Malaysia",101.6944619,3.1499222,8302,8595,8239
"46","Kuala Lipis , Malaysia",102.0542321,4.18433,8302,8595,8239
"47","Kampong Padang Tuanku , Malaysia",101.975766,4.210484,8302,8595,8239
"48","Kota Bahru , Malaysia",102.2404869,6.1254326,8302,8595,8239
"49","Pekan , Malaysia",103.385652,3.4955763,11606,12370,11748
"50","Nenasi (In front of JKR Pekan) , Malaysia",103.4368319,3.141145,11606,12370,11748
"51","Kuantan , Malaysia",103.3317173,3.8168287,16731,17493,17130
"52","Karak , Malaysia",102.0332761,3.415374,16731,17493,17130
"53","Kuantan , Malaysia",103.3317173,3.8168287,6915,7061,6889
"54","Maran , Malaysia",102.7790651,3.58338,6915,7061,6889
"55","Kuantan , Malaysia",103.3317173,3.8168287,10416,10651,12330
"56","Segamat , Malaysia",102.8207542,2.50346,10416,10651,12330
"57","Kota Bharu , Malaysia",102.2379201,6.1251424,65518,66933,34004
"58","Pasir Puteh , Malaysia",102.4083212,5.8364234,65518,66933,34004
"59","Lebuh raya Timur , Malaysia",102.6149296,5.0971979,6300,6389,6268
