id,left,top,right,bottom,row_index,col_index,id_2,left_2,top_2,right_2,bottom_2,row_index_2,col_index_2,Temp_19
1,100.119736915999994,6.721694625000000,100.258300980605497,6.601694625000000,0,0,"63",100.209206916,6.632080625,100.298676916,6.542466625,"1","1",27.9199256474125
2,100.119736915999994,6.601694625000000,100.258300980605497,6.481694625000000,1,0,"64",100.209206916,6.542466625,100.298676916,6.452852625,"2","1",27.9241925795377
3,100.119736915999994,6.481694625000000,100.258300980605497,6.361694625000000,2,0,"65",100.209206916,6.452852625,100.298676916,6.363238625,"3","1",27.9309475690521
3,100.119736915999994,6.481694625000000,100.258300980605497,6.361694625000000,2,0,"66",100.209206916,6.363238625,100.298676916,6.273624625,"4","1",27.9439037135078
4,100.119736915999994,6.361694625000000,100.258300980605497,6.241694625000000,3,0,"67",100.209206916,6.273624625,100.298676916,6.184010625,"5","1",27.9810193115162
5,100.119736915999994,6.241694625000000,100.258300980605497,6.121694625000000,4,0,,,,,,,,
11,100.119736915999994,5.521694625000000,100.258300980605497,5.401694625000000,10,0,,,,,,,,
12,100.119736915999994,5.401694625000000,100.258300980605497,5.281694625000000,11,0,"77",100.209206916,5.377484625,100.298676916,5.287870625,"15","1",28.8972304247118
12,100.119736915999994,5.401694625000000,100.258300980605497,5.281694625000000,11,0,"78",100.209206916,5.287870625,100.298676916,5.198256625,"16","1",28.7768494541074
13,100.119736915999994,5.281694625000000,100.258300980605497,5.161694625000000,12,0,,,,,,,,
47,100.223659964454129,6.661694625000000,100.362224029059647,6.541694625000000,0,1,"124",100.298676916,6.632080625,100.388146916,6.542466625,"1","2",27.9183825028923
47,100.223659964454129,6.661694625000000,100.362224029059647,6.541694625000000,0,1,"125",100.298676916,6.542466625,100.388146916,6.452852625,"2","2",27.9230032142033
48,100.223659964454129,6.541694625000000,100.362224029059647,6.421694625000000,1,1,"126",100.298676916,6.452852625,100.388146916,6.363238625,"3","2",27.9317427350478
49,100.223659964454129,6.421694625000000,100.362224029059647,6.301694625000000,2,1,"127",100.298676916,6.363238625,100.388146916,6.273624625,"4","2",27.9472320917997
50,100.223659964454129,6.301694625000000,100.362224029059647,6.181694625000000,3,1,"128",100.298676916,6.273624625,100.388146916,6.184010625,"5","2",27.9872102894648
50,100.223659964454129,6.301694625000000,100.362224029059647,6.181694625000000,3,1,"129",100.298676916,6.184010625,100.388146916,6.094396625,"6","2",28.0544178761162
51,100.223659964454129,6.181694625000000,100.362224029059647,6.061694625000000,4,1,,,,,,,,
52,100.223659964454129,6.061694625000000,100.362224029059647,5.941694625000000,5,1,,,,,,,,
53,100.223659964454129,5.941694625000000,100.362224029059647,5.821694625000000,6,1,,,,,,,,
