"","latitude","longitude"
"7072085",9.57641578,105.28860322
"3140773",10.09143759,105.71153864
"6713869",6.05106817,102.08180138
"3823457",9.87969728,105.1877442
"460546",9.08703365,104.95605576
"7496884",9.65969306,105.34004231
"5916431",9.89704714,106.40240014
"4464349",5.36060985,100.6988021
"248088",10.06131215,105.95469653
"2513439",10.00381612,105.79896402
"2770284",9.10825477,105.09791186
"5082468",9.17168857,105.24030028
"6807301",9.3593026,106.0626845
"355793",9.73407308,105.76388691
"160176",10.2073488,105.8518069
"546104",6.67479444,100.90853282
"1641158",10.02020831,106.1509791
"5955075",6.18736271,100.62198958
"4487584",9.89435151,105.0848862
"5570827",5.08566102,100.84927167
"2705525",9.39431415,105.37084888
"8294627",9.62068964,105.81932275
"7289334",10.21258664,105.95317407
"8477610",6.01244794,101.63206673
"2320115",5.98524208,102.13335027
"6027970",9.88444387,105.06024898
"4560390",9.67895042,106.31077343
"5931075",9.60778287,105.4279589
"3522640",10.02514,106.29294264
"4572965",6.10539472,102.37917602
"3830985",9.9847069,105.89694499
"874946",9.3812769,105.9831051
"5039143",10.16013962,106.324776
"942372",9.02779758,104.93017311
"3992507",10.15318494,105.76934464
"4561168",10.20770326,105.82163062
"1094661",9.70590724,106.26525867
"7755888",5.30001604,103.10301238
"1196559",9.94962994,105.12092627
"2126038",10.14690695,105.77351142
"6049512",9.92859753,106.36761016
"8472946",6.49055729,100.69014182
"7910994",9.39323987,105.774007
"4855008",9.98700674,106.46904361
"988594",10.18931715,106.18818828
"7448395",6.87125517,101.29279784
"2508037",10.18537795,105.75127384
"6713399",9.66353527,106.37087317
"205479",10.18250151,105.34890648
"5602313",6.01725155,101.9447416
"6489947",9.72684095,105.53652417
"7968106",9.58867272,105.51739216
"7277874",9.9490045,105.18455599
"1522915",9.76963855,105.50573631
"7555414",6.46199904,101.12377875
"2312732",10.10524234,105.66811251
"2752139",10.06062977,105.53746388
"8079585",10.02652016,105.78321117
"891224",9.97638631,106.15210348
"3195221",9.47082698,105.71547091
"3903684",6.01148143,102.35117586
"5400533",10.04892441,105.70657099
"3797504",5.38051151,102.01116503
"3219949",6.07499534,102.14802946
"4504199",5.95360056,102.1920735
"428523",9.58806745,105.95637972
"1423786",10.20599975,105.88879006
"5980155",6.20482608,101.84262429
"5473629",6.16553865,102.22745018
"7595085",9.4067202,105.42843927
"3119568",9.69279685,106.18388355
"7438863",6.45636998,101.12716221
"1119755",10.16566045,106.38749715
"3393730",10.30264572,103.97748407
"114420",9.04482176,104.91299617
"1210378",9.88384528,106.01380829
"4533463",6.15946955,102.26755355
"5097454",9.46223187,105.30659764
"2976925",5.28622951,103.11348399
"7973464",5.33301445,103.10747048
"3406720",9.93832321,106.34312921
"5469484",9.58871212,106.26012656
"2256980",9.01675693,104.93918214
"5366452",9.26855501,105.79551449
"4030535",10.1504905,105.70977143
"4389322",10.04714575,105.78614983
"2971415",9.98977257,105.42570939
"2363184",10.08266404,105.04777639
"7908572",9.51913239,105.95272357
"6264328",10.01897423,105.94351125
"5236417",9.91383006,105.97760204
"6114924",10.03230376,105.08311937
"1243900",5.90696042,102.28853823
"6017957",9.71885618,106.40032625
"2382040",10.13606473,106.07231698
"2418959",5.14764345,101.06636722
"3299357",10.04852952,105.7858332
"7758261",6.51750459,101.17947168
"5117763",9.13933782,104.82700765
"7488973",5.76942729,102.56849636
"8154202",9.17783808,105.14443801
"6230291",9.79393717,106.4488522
"5965361",10.23098775,103.95429613
"2890276",9.9094806,106.1477485
"3420314",10.16944681,105.62852139
"2098459",6.78050143,101.4281506
"6998093",6.57515105,100.67373162
"7198382",9.9233781,106.33270962
"2622071",6.26589715,101.26763237
"1921579",10.13755518,106.25631573
"1366425",6.51458064,101.27564851
"7354131",6.71591115,100.89636157
"5230021",9.17362793,105.15118821
"1125584",6.15830647,102.33384758
"5448911",9.69146095,106.50257783
"3121770",6.73794549,101.45213267
"1027546",9.4699919,104.84822024
"2431078",9.91097114,105.31320632
"1705421",10.00644503,105.73382527
"2843941",10.15393494,106.26025191
"1471191",9.75115991,105.43835621
"2907332",5.08078448,100.84325522
"7624946",9.36169886,106.0878418
"1554244",5.08322863,103.08637443
"2484147",10.23704708,105.51871495
"2760277",5.1482738,100.87876897
"2769000",10.02812768,105.79278189
"5442687",10.1382119,105.6603677
"5893273",9.7255291,106.38830546
"8343814",9.87327293,105.65964926
"1021994",9.77738178,106.4951755
"5384069",10.11515553,105.98113116
"1818989",10.08069638,105.72610764
"508398",9.59097909,105.98052447
"2742476",10.12238152,104.97520252
"3321858",9.59795013,105.94213919
"899572",5.04882633,103.10472975
"2314566",6.34309093,100.68744697
"5399718",6.02854952,102.12010696
"1772307",6.52925734,100.95754642
"7584897",5.85047256,102.01356496
"7687370",8.82945182,105.28761922
"2636706",9.38917607,105.45041603
"7273598",9.60554996,106.02620157
"4103149",10.03294602,106.26311187
"1393630",5.87132965,102.30525619
"6467628",6.01917006,101.94441432
"1520346",5.30033831,103.09731944
"4854067",9.78731507,104.93357491
"4635880",6.61982301,101.34298935
"2983041",9.32643124,106.0084626
"801055",10.20650151,105.88873741
"3385431",9.53153265,105.3496701
"2616376",10.22960743,103.98085211
"5973691",9.90460422,105.3215733
"3317343",10.09842234,105.82503382
"3140977",6.80713519,101.49771718
"6691661",9.14605117,105.21127969
"1284267",10.1200809,104.00980186
"4084579",10.02151124,105.09741934
"6539382",9.99572194,105.09321934
"8297025",9.8480869,106.41002154
"3622030",6.20583301,100.64940161
"3260681",5.39840122,101.114114
"6312499",9.89234945,106.26593254
"5492570",5.28243363,103.16742842
"6563691",5.52790878,102.92114027
"4824820",10.08247362,106.22627195
"2591791",5.34996683,103.11272302
"1312711",6.14356919,101.88546969
"6182420",6.61378045,101.68143801
"5476676",6.67326385,101.57022626
"5710809",5.31778698,103.1151583
"1559673",6.03816051,102.32390823
"557602",10.19510739,106.27054633
"803665",9.89105807,105.71986548
"2039778",10.06318619,105.65786508
"6655960",10.18689832,106.20806265
"6708544",5.39658691,103.07631475
"6628511",9.99255817,106.13365649
"7017517",10.02320402,105.74805756
"5342980",9.41312443,105.47834023
"4950277",6.07841787,102.08219313
"1771524",6.11463291,102.0786608
"8487671",9.74538328,105.55775103
"2743284",5.3137388,103.07353819
