"","X","latitude","longitude"
"7755140",7755140,4.82027864,101.09667349
"1967730",1967730,3.80176785,103.318309
"2111916",2111916,0.50721782,101.43897518
"4907280",4907280,3.05643032,101.7701775
"4845799",4845799,3.35357662,101.50169904
"7165928",7165928,1.53574962,103.61168411
"5190568",5190568,1.13066904,104.03783665
"6473887",6473887,4.5974181,101.08248594
"299023",299023,3.49230347,103.38741413
"1931162",1931162,0.3253431,101.18297392
"2806519",2806519,3.24733701,102.25024847
"7579136",7579136,1.33082512,103.94927137
"6915053",6915053,0.4579969,100.78684219
"4222159",4222159,2.83604317,101.78228813
"9384698",9384698,0.7452973,101.46457339
"7227887",7227887,1.33650548,103.78812765
"6243051",6243051,0.47157623,101.07788442
"5992002",5992002,3.45735796,101.65887687
"5413929",5413929,1.30670717,103.90391041
"3076821",3076821,2.65451043,102.53310594
"6775653",6775653,3.74752701,103.23086616
"3709266",3709266,2.93182777,101.75333401
"6978604",6978604,2.5245729,102.94741709
"1989289",1989289,2.72503417,101.93833873
"1539222",1539222,3.19111583,103.08587599
"5112503",5112503,0.96543774,104.50800517
"3445352",3445352,1.60293899,104.08409266
"7142378",7142378,1.66472153,100.81340371
"9342964",9342964,1.40789274,104.16372377
"3912121",3912121,3.16449705,101.54321805
"7718643",7718643,0.48408246,101.43327225
"3710597",3710597,1.70691857,103.43872648
"2116432",2116432,1.31080269,103.66592308
"745879",745879,4.37228873,101.02382253
"1035824",1035824,1.57422843,103.76062135
"2657389",2657389,1.6345145,103.75688342
"8402303",8402303,3.72085674,103.12447857
"367034",367034,3.1993992,101.66893903
"616765",616765,3.82016714,103.2001302
"5320177",5320177,1.14480369,104.11749718
"1844071",1844071,0.51791739,101.42879528
"8577875",8577875,1.5451973,102.30279297
"6417386",6417386,4.24268803,103.42382012
"2232702",2232702,4.7914507,100.71614008
"5685864",5685864,3.00875576,101.59577437
"4082933",4082933,2.96672321,101.55044847
"5650880",5650880,2.45825452,102.35924517
"5676387",5676387,3.00345839,102.39564362
"3073863",3073863,3.11940279,101.64303033
"4532666",4532666,1.33761496,103.79100366
"4587900",4587900,3.03177775,101.42877498
"8518832",8518832,4.40183656,101.11114754
"714369",714369,3.94307631,102.36867382
"1879902",1879902,1.8490951,102.95322755
"7565434",7565434,3.94875564,102.21350985
"4479628",4479628,4.63154287,101.07048818
"5946845",5946845,4.82476443,100.75015021
"4459671",4459671,4.13275327,101.27900415
