BIL,STESEN,LOKASI,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,AR 101,Ipoh-Tanjung Malim (Slim River Toll house),"15,328","16,501","16,736","15,187","14,913","15,068","17,504","15,285","12,871","17,493"
2,AR 204,Ipoh-Lumut,"25,942","23,834","26,494","25,939","27,384","28,011","25,248","22,166","13,578","18,768"
3,AR 301,Ipoh-Kampar,"28,520","27,126","30,592","24,654","29,911","30,321","20,707","17,500","12,642","23,087"
4,AR 303,Sitiawan-Gopeng,"77,195","78,210","78,136","77,483","87,006","87,711","53,711","45,619","48,669","72,260"
5,AR 501,Ipoh-Kuala Kangsar,"20,478","18,578","19,895","19,936","20,443","20,571","22,077","19,160","14,535","20,996"
6,AR 601,Ipoh-Butterworth,"20,588","19,881","20,664","21,327","19,058","20,270","20,186","19,103","14,358","21,075"
7,AR 603,Sitiawan-Taiping,"12,938","12,531","12,949","13,919","9,227","9,449","9,677","8,023","2,101","3,859"
8,AR 703,Ipoh-Teluk Intan-Simpang Empat,"25,489","25,865","27,249","33,024","26,218","26,687","18,285","15,593","8,826","19,911"
9,AR 801,Kuala Kangsar-Baling,"3,487","2,826","3,139","3,017","2,798","2,872","2,952","2,900","3,930","6,928"
10,AR 803,Lebuhraya Timur-Barat,"3,796","3,636","3,293","3,818","3,923","4,028","4,164","4,112","1,433","3,274"
11,BR 102,Klang-Port Klang (Persiaran Raja Muda Musa),"56,513","52,563","49,706","47,687","47,521","47,425","63,989","55,013","32,359","59,939"
12,BR 108,Federal Highway-North Klang Straits Bypass,"143,223","136,424","131,348","128,988","101,893","100,568","89,634","73,585","51,639","25,243"
13,BR 203,Klang-Morib-Batu Laut,"7,777","7,741","7,890","7,999","5,903","5,930","7,110","6,794","5,231","7,468"
14,BR 405,Kuala Lumpur-Kepong-Kuala Selangor,"21,278","22,618","21,611","22,277","21,568","21,697","22,957","19,739","14,364","27,697"
15,BR 501,Klang-Sabak Bernam,"22,174","22,443","20,838","24,554","21,642","22,118","22,373","19,411","9,052","25,033"
16,BR 604,Kuala Lumpur-Kajang-Telok Datok (Bt 14 Jln Cheras),"59,023","54,222","48,737","48,199","46,607","45,441","49,444","41,588","33,772","49,206"
17,BR 701,Kuala Lumpur-Kuala Kubu Bahru Junction,"15,082","15,022","15,538","16,063","13,476","13,626","15,367","13,176","15,599","15,044"
18,BR 902,Jalan Lingkaran Tengah 2 (MRR2),"147,449","144,308","129,579","138,711","153,545","153,914","108,272","92,725","55,377","163,197"
19,CR 106,Jalan Kuala Lumpur-Sempadan Kota Bharu,"13,768","18,488","15,702","16,291","18,843","19,144","21,090","18,700","15,414","22,964"
20,CR 403,Kuantan-Maran,"31,416","31,876","29,856","30,231","33,247","34,204","26,215","22,721","19,103","30,590"
21,CR 410,Kuantan-Kemaman (Sg. Ular),"21,601","22,995","20,827","24,850","30,052","30,768","33,911","30,615","15,611","18,086"
22,CR 503,Kuala Lumpur-Kuala Lipis-Kampong Padang Tuanku-Kota Bahru,"6,985","7,319","8,063","8,757","8,302","8,595","8,239","8,210","5,976","11,135"
23,CR 603,Pekan-Nenasi (In front of JKR Pekan),"11,563","11,535","10,741","11,620","11,606","12,370","11,748","10,450","8,678","10,389"
24,CR 801,Kuantan-Karak,"13,328","15,673","14,874","15,730","16,731","17,493","17,130","15,498","8,659","13,867"
25,CR 805,Kuantan-Maran,"6,952","6,714","6,369","6,841","6,915","7,061","6,889","6,638","5,006","7,603"
26,CR 902,Kuantan-Segamat,"8,763","9,314","9,985","10,514","10,416","10,651","12,330","12,383","12,455","8,622"
27,DR 201,Kota Bharu-Pasir Puteh,"32,263","26,043","39,257","28,405","65,518","66,933","34,004","30,008","24,824","29,440"
28,DR 603,Lebuh raya Timur-Barat,"6,029","6,141","4,718","6,344","6,300","6,389","6,268","6,123","4,581","8,630"
29,DR 802,Kota Bharu-Kuala Krai,"21,200","22,523","23,345","21,969","22,160","22,550","21,898","18,967","16,159","25,258"
30,JR 102,Batu Pahat-Muar,"25,305","21,429","17,176","18,177","23,564","23,698","24,753","21,916","24,421","28,202"
