"id","left","top","right","bottom","row_index","col_index","API_19"
1,100.119736916,6.721694625,100.209206916,6.632080625,0,0,52.1099144436608
2,100.119736916,6.632080625,100.209206916,6.542466625,1,0,51.7864785672607
3,100.119736916,6.542466625,100.209206916,6.452852625,2,0,51.5289638135276
4,100.119736916,6.452852625,100.209206916,6.363238625,3,0,51.4986630585013
5,100.119736916,6.363238625,100.209206916,6.273624625,4,0,51.6686223301406
6,100.119736916,6.273624625,100.209206916,6.184010625,5,0,51.9172554245663
7,100.119736916,6.184010625,100.209206916,6.094396625,6,0,52.225313467699
8,100.119736916,6.094396625,100.209206916,6.004782625,7,0,52.5882910026264
9,100.119736916,6.004782625,100.209206916,5.915168625,8,0,52.9896284582293
10,100.119736916,5.915168625,100.209206916,5.825554625,9,0,53.4064945834188
11,100.119736916,5.825554625,100.209206916,5.735940625,10,0,53.8205901324014
12,100.119736916,5.735940625,100.209206916,5.646326625,11,0,54.2244542925846
13,100.119736916,5.646326625,100.209206916,5.556712625,12,0,54.6158222128049
14,100.119736916,5.556712625,100.209206916,5.467098625,13,0,54.9858601024367
15,100.119736916,5.467098625,100.209206916,5.377484625,14,0,55.3110876882226
16,100.119736916,5.377484625,100.209206916,5.287870625,15,0,55.5504213248041
17,100.119736916,5.287870625,100.209206916,5.198256625,16,0,55.7033877239368
18,100.119736916,5.198256625,100.209206916,5.108642625,17,0,55.8067205542319
19,100.119736916,5.108642625,100.209206916,5.019028625,18,0,55.8758774443029
20,100.119736916,5.019028625,100.209206916,4.929414625,19,0,55.912281447761
21,100.119736916,4.929414625,100.209206916,4.839800625,20,0,55.9274436357074
22,100.119736916,4.839800625,100.209206916,4.750186625,21,0,55.9343340063151
23,100.119736916,4.750186625,100.209206916,4.660572625,22,0,55.9282996228939
24,100.119736916,4.660572625,100.209206916,4.570958625,23,0,55.9092101800728
25,100.119736916,4.570958625,100.209206916,4.481344625,24,0,55.8879903738233
26,100.119736916,4.481344625,100.209206916,4.391730625,25,0,55.8628190882653
27,100.119736916,4.391730625,100.209206916,4.302116625,26,0,55.8317116397756
28,100.119736916,4.302116625,100.209206916,4.212502625,27,0,55.7941085780571
29,100.119736916,4.212502625,100.209206916,4.122888625,28,0,55.7463595822594
30,100.119736916,4.122888625,100.209206916,4.033274625,29,0,55.683773131342
31,100.119736916,4.033274625,100.209206916,3.943660625,30,0,55.6127244803865
32,100.119736916,3.943660625,100.209206916,3.854046625,31,0,55.5446546006226
33,100.119736916,3.854046625,100.209206916,3.764432625,32,0,55.4834058860984
34,100.119736916,3.764432625,100.209206916,3.674818625,33,0,55.4278081583762
35,100.119736916,3.674818625,100.209206916,3.585204625,34,0,55.3859489622482
36,100.119736916,3.585204625,100.209206916,3.495590625,35,0,55.3608178324866
37,100.119736916,3.495590625,100.209206916,3.405976625,36,0,55.3480111509003
38,100.119736916,3.405976625,100.209206916,3.316362625,37,0,55.3444243437427
39,100.119736916,3.316362625,100.209206916,3.226748625,38,0,55.3407817435237
40,100.119736916,3.226748625,100.209206916,3.137134625,39,0,55.3311325537222
41,100.119736916,3.137134625,100.209206916,3.047520625,40,0,55.3156566748273
42,100.119736916,3.047520625,100.209206916,2.957906625,41,0,55.2986476515102
43,100.119736916,2.957906625,100.209206916,2.868292625,42,0,55.2809334932854
44,100.119736916,2.868292625,100.209206916,2.778678625,43,0,55.2643005419497
45,100.119736916,2.778678625,100.209206916,2.689064625,44,0,55.246413997684
46,100.119736916,2.689064625,100.209206916,2.599450625,45,0,55.2276198192613
47,100.119736916,2.599450625,100.209206916,2.509836625,46,0,55.2116999618697
48,100.119736916,2.509836625,100.209206916,2.420222625,47,0,55.1999302819494
49,100.119736916,2.420222625,100.209206916,2.330608625,48,0,55.1941120191761
50,100.119736916,2.330608625,100.209206916,2.240994625,49,0,55.1927342247109
51,100.119736916,2.240994625,100.209206916,2.151380625,50,0,55.1927095082452
52,100.119736916,2.151380625,100.209206916,2.061766625,51,0,55.1927095082452
53,100.119736916,2.061766625,100.209206916,1.972152625,52,0,55.1927095082452
54,100.119736916,1.972152625,100.209206916,1.882538625,53,0,55.1927095082452
55,100.119736916,1.882538625,100.209206916,1.792924625,54,0,55.1927095082452
56,100.119736916,1.792924625,100.209206916,1.703310625,55,0,55.1927095082452
57,100.119736916,1.703310625,100.209206916,1.613696625,56,0,55.1927095082452
58,100.119736916,1.613696625,100.209206916,1.524082625,57,0,55.1927095082452
59,100.119736916,1.524082625,100.209206916,1.434468625,58,0,55.1927095082452
60,100.119736916,1.434468625,100.209206916,1.344854625,59,0,55.1927095082452
61,100.119736916,1.344854625,100.209206916,1.255240625,60,0,55.1927095082452
62,100.209206916,6.721694625,100.298676916,6.632080625,0,1,52.0208363423181
63,100.209206916,6.632080625,100.298676916,6.542466625,1,1,51.6589411608935
64,100.209206916,6.542466625,100.298676916,6.452852625,2,1,51.3042399047624
65,100.209206916,6.452852625,100.298676916,6.363238625,3,1,51.2799922380168
66,100.209206916,6.363238625,100.298676916,6.273624625,4,1,51.4829400589173
67,100.209206916,6.273624625,100.298676916,6.184010625,5,1,51.7214208061793
68,100.209206916,6.184010625,100.298676916,6.094396625,6,1,52.0238318625523
69,100.209206916,6.094396625,100.298676916,6.004782625,7,1,52.409429601644
70,100.209206916,6.004782625,100.298676916,5.915168625,8,1,52.8434768501053
71,100.209206916,5.915168625,100.298676916,5.825554625,9,1,53.2883470016678
72,100.209206916,5.825554625,100.298676916,5.735940625,10,1,53.7287544903156
73,100.209206916,5.735940625,100.298676916,5.646326625,11,1,54.1639048619917
74,100.209206916,5.646326625,100.298676916,5.556712625,12,1,54.5886338277551
75,100.209206916,5.556712625,100.298676916,5.467098625,13,1,54.9991577765211
76,100.209206916,5.467098625,100.298676916,5.377484625,14,1,55.3781072548372
77,100.209206916,5.377484625,100.298676916,5.287870625,15,1,55.6271429348012
78,100.209206916,5.287870625,100.298676916,5.198256625,16,1,55.7516046402066
79,100.209206916,5.198256625,100.298676916,5.108642625,17,1,55.8496892548921
80,100.209206916,5.108642625,100.298676916,5.019028625,18,1,55.9260161672185
81,100.209206916,5.019028625,100.298676916,4.929414625,19,1,55.9759378573484
82,100.209206916,4.929414625,100.298676916,4.839800625,20,1,56.0071268239041
83,100.209206916,4.839800625,100.298676916,4.750186625,21,1,56.0313792410056
84,100.209206916,4.750186625,100.298676916,4.660572625,22,1,56.0426619036279
85,100.209206916,4.660572625,100.298676916,4.570958625,23,1,56.0378658034593
86,100.209206916,4.570958625,100.298676916,4.481344625,24,1,56.0275134136395
87,100.209206916,4.481344625,100.298676916,4.391730625,25,1,56.0099258299609
88,100.209206916,4.391730625,100.298676916,4.302116625,26,1,55.9739257187136
89,100.209206916,4.302116625,100.298676916,4.212502625,27,1,55.9145708500235
90,100.209206916,4.212502625,100.298676916,4.122888625,28,1,55.837202094274
91,100.209206916,4.122888625,100.298676916,4.033274625,29,1,55.7449810534458
92,100.209206916,4.033274625,100.298676916,3.943660625,30,1,55.6452238916765
93,100.209206916,3.943660625,100.298676916,3.854046625,31,1,55.5490729313462
94,100.209206916,3.854046625,100.298676916,3.764432625,32,1,55.4716531735938
95,100.209206916,3.764432625,100.298676916,3.674818625,33,1,55.4156846723389
96,100.209206916,3.674818625,100.298676916,3.585204625,34,1,55.3843892145783
97,100.209206916,3.585204625,100.298676916,3.495590625,35,1,55.3768372779811
98,100.209206916,3.495590625,100.298676916,3.405976625,36,1,55.3901683427374
99,100.209206916,3.405976625,100.298676916,3.316362625,37,1,55.4185514011089
100,100.209206916,3.316362625,100.298676916,3.226748625,38,1,55.4507104942954
101,100.209206916,3.226748625,100.298676916,3.137134625,39,1,55.4752777105367
102,100.209206916,3.137134625,100.298676916,3.047520625,40,1,55.4854951374384
103,100.209206916,3.047520625,100.298676916,2.957906625,41,1,55.4755088680313
104,100.209206916,2.957906625,100.298676916,2.868292625,42,1,55.4471180945784
105,100.209206916,2.868292625,100.298676916,2.778678625,43,1,55.4128460463695
106,100.209206916,2.778678625,100.298676916,2.689064625,44,1,55.3745324339731
107,100.209206916,2.689064625,100.298676916,2.599450625,45,1,55.3317355674382
108,100.209206916,2.599450625,100.298676916,2.509836625,46,1,55.2895542571915
109,100.209206916,2.509836625,100.298676916,2.420222625,47,1,55.251434893367
110,100.209206916,2.420222625,100.298676916,2.330608625,48,1,55.2225500718961
111,100.209206916,2.330608625,100.298676916,2.240994625,49,1,55.2043055839806
112,100.209206916,2.240994625,100.298676916,2.151380625,50,1,55.1962311759961
113,100.209206916,2.151380625,100.298676916,2.061766625,51,1,55.1929425168986
114,100.209206916,2.061766625,100.298676916,1.972152625,52,1,55.1927095082452
115,100.209206916,1.972152625,100.298676916,1.882538625,53,1,55.1927095082452
116,100.209206916,1.882538625,100.298676916,1.792924625,54,1,55.1927095082452
117,100.209206916,1.792924625,100.298676916,1.703310625,55,1,55.1927095082452
118,100.209206916,1.703310625,100.298676916,1.613696625,56,1,55.1927095082452
119,100.209206916,1.613696625,100.298676916,1.524082625,57,1,55.1927095082452
120,100.209206916,1.524082625,100.298676916,1.434468625,58,1,55.1927095082452
121,100.209206916,1.434468625,100.298676916,1.344854625,59,1,55.1927095082452
122,100.209206916,1.344854625,100.298676916,1.255240625,60,1,55.1927095082452
123,100.298676916,6.721694625,100.388146916,6.632080625,0,2,52.0543566771026
124,100.298676916,6.632080625,100.388146916,6.542466625,1,2,51.7220777971701
125,100.298676916,6.542466625,100.388146916,6.452852625,2,2,51.4590285131831
126,100.298676916,6.452852625,100.388146916,6.363238625,3,2,51.383358410963
127,100.298676916,6.363238625,100.388146916,6.273624625,4,2,51.4738367435272
128,100.298676916,6.273624625,100.388146916,6.184010625,5,2,51.6289492935267
129,100.298676916,6.184010625,100.388146916,6.094396625,6,2,51.8748482654431
130,100.298676916,6.094396625,100.388146916,6.004782625,7,2,52.2922732753878
131,100.298676916,6.004782625,100.388146916,5.915168625,8,2,52.7558534514218
132,100.298676916,5.915168625,100.388146916,5.825554625,9,2,53.2176828908628
133,100.298676916,5.825554625,100.388146916,5.735940625,10,2,53.6757148296607
134,100.298676916,5.735940625,100.388146916,5.646326625,11,2,54.1260380161295
135,100.298676916,5.646326625,100.388146916,5.556712625,12,2,54.5623074821746
136,100.298676916,5.556712625,100.388146916,5.467098625,13,2,54.9877586846111
137,100.298676916,5.467098625,100.388146916,5.377484625,14,2,55.3754420320098
138,100.298676916,5.377484625,100.388146916,5.287870625,15,2,55.6176823084603
139,100.298676916,5.287870625,100.388146916,5.198256625,16,2,55.7498048018162
140,100.298676916,5.198256625,100.388146916,5.108642625,17,2,55.8607121371112
141,100.298676916,5.108642625,100.388146916,5.019028625,18,2,55.955240404917
142,100.298676916,5.019028625,100.388146916,4.929414625,19,2,56.0253821972535
143,100.298676916,4.929414625,100.388146916,4.839800625,20,2,56.078704887606
144,100.298676916,4.839800625,100.388146916,4.750186625,21,2,56.1252527761656
145,100.298676916,4.750186625,100.388146916,4.660572625,22,2,56.1580100453645
146,100.298676916,4.660572625,100.388146916,4.570958625,23,2,56.1718283332573
147,100.298676916,4.570958625,100.388146916,4.481344625,24,2,56.1714582626268
148,100.298676916,4.481344625,100.388146916,4.391730625,25,2,56.1400067208669
149,100.298676916,4.391730625,100.388146916,4.302116625,26,2,56.078197599001
150,100.298676916,4.302116625,100.388146916,4.212502625,27,2,55.9897892211085
151,100.298676916,4.212502625,100.388146916,4.122888625,28,2,55.8806422025651
152,100.298676916,4.122888625,100.388146916,4.033274625,29,2,55.7557313703792
153,100.298676916,4.033274625,100.388146916,3.943660625,30,2,55.6269322578488
154,100.298676916,3.943660625,100.388146916,3.854046625,31,2,55.5188077337274
155,100.298676916,3.854046625,100.388146916,3.764432625,32,2,55.4464569401869
156,100.298676916,3.764432625,100.388146916,3.674818625,33,2,55.4051551025699
157,100.298676916,3.674818625,100.388146916,3.585204625,34,2,55.3953917362945
158,100.298676916,3.585204625,100.388146916,3.495590625,35,2,55.4144529249604
159,100.298676916,3.495590625,100.388146916,3.405976625,36,2,55.459515505756
160,100.298676916,3.405976625,100.388146916,3.316362625,37,2,55.5262323881507
161,100.298676916,3.316362625,100.388146916,3.226748625,38,2,55.6016646813434
162,100.298676916,3.226748625,100.388146916,3.137134625,39,2,55.6673193764261
163,100.298676916,3.137134625,100.388146916,3.047520625,40,2,55.7127823822447
164,100.298676916,3.047520625,100.388146916,2.957906625,41,2,55.7309967546685
165,100.298676916,2.957906625,100.388146916,2.868292625,42,2,55.7168249481107
166,100.298676916,2.868292625,100.388146916,2.778678625,43,2,55.6679304560409
167,100.298676916,2.778678625,100.388146916,2.689064625,44,2,55.6017836241985
168,100.298676916,2.689064625,100.388146916,2.599450625,45,2,55.5259826079642
169,100.298676916,2.599450625,100.388146916,2.509836625,46,2,55.445776488343
170,100.298676916,2.509836625,100.388146916,2.420222625,47,2,55.3690608996983
171,100.298676916,2.420222625,100.388146916,2.330608625,48,2,55.304071583011
172,100.298676916,2.330608625,100.388146916,2.240994625,49,2,55.2530769130554
173,100.298676916,2.240994625,100.388146916,2.151380625,50,2,55.2204891389582
174,100.298676916,2.151380625,100.388146916,2.061766625,51,2,55.2033394655353
175,100.298676916,2.061766625,100.388146916,1.972152625,52,2,55.1953763118555
176,100.298676916,1.972152625,100.388146916,1.882538625,53,2,55.1927536483562
177,100.298676916,1.882538625,100.388146916,1.792924625,54,2,55.1927095082452
178,100.298676916,1.792924625,100.388146916,1.703310625,55,2,55.1927095082452
179,100.298676916,1.703310625,100.388146916,1.613696625,56,2,55.1927095082452
180,100.298676916,1.613696625,100.388146916,1.524082625,57,2,55.1927095082452
181,100.298676916,1.524082625,100.388146916,1.434468625,58,2,55.1927095082452
182,100.298676916,1.434468625,100.388146916,1.344854625,59,2,55.1927095082452
183,100.298676916,1.344854625,100.388146916,1.255240625,60,2,55.1927095082452
184,100.388146916,6.721694625,100.477616916,6.632080625,0,3,52.1886310873703
185,100.388146916,6.632080625,100.477616916,6.542466625,1,3,51.9049470483193
186,100.388146916,6.542466625,100.477616916,6.452852625,2,3,51.6956075843311
187,100.388146916,6.452852625,100.477616916,6.363238625,3,3,51.6021841646789
188,100.388146916,6.363238625,100.477616916,6.273624625,4,3,51.6189210882298
189,100.388146916,6.273624625,100.477616916,6.184010625,5,3,51.6980481529329
190,100.388146916,6.184010625,100.477616916,6.094396625,6,3,51.8612039402065
191,100.388146916,6.094396625,100.477616916,6.004782625,7,3,52.2986059284622
192,100.388146916,6.004782625,100.477616916,5.915168625,8,3,52.7537836356363
193,100.388146916,5.915168625,100.477616916,5.825554625,9,3,53.2086300055429
194,100.388146916,5.825554625,100.477616916,5.735940625,10,3,53.6657792593486
195,100.388146916,5.735940625,100.477616916,5.646326625,11,3,54.1113452750041
196,100.388146916,5.646326625,100.477616916,5.556712625,12,3,54.5254402833025
197,100.388146916,5.556712625,100.477616916,5.467098625,13,3,54.9242156348043
198,100.388146916,5.467098625,100.477616916,5.377484625,14,3,55.3347379581022
199,100.388146916,5.377484625,100.477616916,5.287870625,15,3,55.5264519085606
200,100.388146916,5.287870625,100.477616916,5.198256625,16,3,55.6864890509023
201,100.388146916,5.198256625,100.477616916,5.108642625,17,3,55.8359418920611
202,100.388146916,5.108642625,100.477616916,5.019028625,18,3,55.9627477176155
203,100.388146916,5.019028625,100.477616916,4.929414625,19,3,56.0601454933997
204,100.388146916,4.929414625,100.477616916,4.839800625,20,3,56.141437229611
205,100.388146916,4.839800625,100.477616916,4.750186625,21,3,56.2151469522263
206,100.388146916,4.750186625,100.477616916,4.660572625,22,3,56.2736972666267
207,100.388146916,4.660572625,100.477616916,4.570958625,23,3,56.2980233230165
208,100.388146916,4.570958625,100.477616916,4.481344625,24,3,56.2815940704624
209,100.388146916,4.481344625,100.477616916,4.391730625,25,3,56.2288862964285
210,100.388146916,4.391730625,100.477616916,4.302116625,26,3,56.1421367561379
211,100.388146916,4.302116625,100.477616916,4.212502625,27,3,56.0241536913293
212,100.388146916,4.212502625,100.477616916,4.122888625,28,3,55.8803127197668
213,100.388146916,4.122888625,100.477616916,4.033274625,29,3,55.7226829111677
214,100.388146916,4.033274625,100.477616916,3.943660625,30,3,55.5844879993808
215,100.388146916,3.943660625,100.477616916,3.854046625,31,3,55.484319540688
216,100.388146916,3.854046625,100.477616916,3.764432625,32,3,55.4244570312449
217,100.388146916,3.764432625,100.477616916,3.674818625,33,3,55.406324278795
