"id","left","top","right","bottom","row_index","col_index","Meteo_18"
1,100.119736916,6.721694625,100.209206916,6.632080625,0,0,28.0311294129286
2,100.119736916,6.632080625,100.209206916,6.542466625,1,0,28.0934849587875
3,100.119736916,6.542466625,100.209206916,6.452852625,2,0,28.1519828595347
4,100.119736916,6.452852625,100.209206916,6.363238625,3,0,28.1833055556482
5,100.119736916,6.363238625,100.209206916,6.273624625,4,0,28.1915434836493
6,100.119736916,6.273624625,100.209206916,6.184010625,5,0,28.2034406241956
7,100.119736916,6.184010625,100.209206916,6.094396625,6,0,28.2218884034111
8,100.119736916,6.094396625,100.209206916,6.004782625,7,0,28.2435369041505
9,100.119736916,6.004782625,100.209206916,5.915168625,8,0,28.2694301814893
10,100.119736916,5.915168625,100.209206916,5.825554625,9,0,28.3021947531949
11,100.119736916,5.825554625,100.209206916,5.735940625,10,0,28.3429053115473
12,100.119736916,5.735940625,100.209206916,5.646326625,11,0,28.3908646497411
13,100.119736916,5.646326625,100.209206916,5.556712625,12,0,28.4446490150731
14,100.119736916,5.556712625,100.209206916,5.467098625,13,0,28.5012846844159
15,100.119736916,5.467098625,100.209206916,5.377484625,14,0,28.5433656481008
16,100.119736916,5.377484625,100.209206916,5.287870625,15,0,28.5254723016736
17,100.119736916,5.287870625,100.209206916,5.198256625,16,0,28.4469631956572
18,100.119736916,5.198256625,100.209206916,5.108642625,17,0,28.3504132429601
19,100.119736916,5.108642625,100.209206916,5.019028625,18,0,28.2501235644343
20,100.119736916,5.019028625,100.209206916,4.929414625,19,0,28.1547746786195
21,100.119736916,4.929414625,100.209206916,4.839800625,20,0,28.071038121707
22,100.119736916,4.839800625,100.209206916,4.750186625,21,0,28.0010645838061
23,100.119736916,4.750186625,100.209206916,4.660572625,22,0,27.9463951841085
24,100.119736916,4.660572625,100.209206916,4.570958625,23,0,27.9061831698296
25,100.119736916,4.570958625,100.209206916,4.481344625,24,0,27.8811367244364
26,100.119736916,4.481344625,100.209206916,4.391730625,25,0,27.8707037734563
27,100.119736916,4.391730625,100.209206916,4.302116625,26,0,27.8725443850539
28,100.119736916,4.302116625,100.209206916,4.212502625,27,0,27.8731778530592
29,100.119736916,4.212502625,100.209206916,4.122888625,28,0,27.8694565646174
30,100.119736916,4.122888625,100.209206916,4.033274625,29,0,27.8620032890325
31,100.119736916,4.033274625,100.209206916,3.943660625,30,0,27.8503788278989
32,100.119736916,3.943660625,100.209206916,3.854046625,31,0,27.835423078247
33,100.119736916,3.854046625,100.209206916,3.764432625,32,0,27.8188715166216
34,100.119736916,3.764432625,100.209206916,3.674818625,33,0,27.8024660875655
35,100.119736916,3.674818625,100.209206916,3.585204625,34,0,27.7878383337753
