"id","left","top","right","bottom","row_index","col_index","Traffic_17"
1,100.119736916,6.721694625,100.209206916,6.632080625,0,0,17970.7414320495
2,100.119736916,6.632080625,100.209206916,6.542466625,1,0,15687.0028949204
3,100.119736916,6.542466625,100.209206916,6.452852625,2,0,14061.8830607685
4,100.119736916,6.452852625,100.209206916,6.363238625,3,0,14561.357950713
5,100.119736916,6.363238625,100.209206916,6.273624625,4,0,16366.6578887782
6,100.119736916,6.273624625,100.209206916,6.184010625,5,0,17789.7851927052
7,100.119736916,6.184010625,100.209206916,6.094396625,6,0,18949.8575516504
8,100.119736916,6.094396625,100.209206916,6.004782625,7,0,20214.9754140629
9,100.119736916,6.004782625,100.209206916,5.915168625,8,0,21540.019475745
10,100.119736916,5.915168625,100.209206916,5.825554625,9,0,22787.7643542888
11,100.119736916,5.825554625,100.209206916,5.735940625,10,0,23640.8791457385
12,100.119736916,5.735940625,100.209206916,5.646326625,11,0,24319.8607841893
13,100.119736916,5.646326625,100.209206916,5.556712625,12,0,25293.5887398406
14,100.119736916,5.556712625,100.209206916,5.467098625,13,0,28023.80602031
15,100.119736916,5.467098625,100.209206916,5.377484625,14,0,36238.6812293736
16,100.119736916,5.377484625,100.209206916,5.287870625,15,0,45078.6604682261
17,100.119736916,5.287870625,100.209206916,5.198256625,16,0,48186.0182483918
18,100.119736916,5.198256625,100.209206916,5.108642625,17,0,46847.9739349048
19,100.119736916,5.108642625,100.209206916,5.019028625,18,0,43867.9522391008
20,100.119736916,5.019028625,100.209206916,4.929414625,19,0,40838.6058046314
21,100.119736916,4.929414625,100.209206916,4.839800625,20,0,38398.1377874126
22,100.119736916,4.839800625,100.209206916,4.750186625,21,0,35951.3829783508
23,100.119736916,4.750186625,100.209206916,4.660572625,22,0,33533.9483507575
24,100.119736916,4.660572625,100.209206916,4.570958625,23,0,31455.4850692912
25,100.119736916,4.570958625,100.209206916,4.481344625,24,0,29512.9534236865
26,100.119736916,4.481344625,100.209206916,4.391730625,25,0,27732.4060193921
27,100.119736916,4.391730625,100.209206916,4.302116625,26,0,26089.6653467732
28,100.119736916,4.302116625,100.209206916,4.212502625,27,0,24521.1515614647
29,100.119736916,4.212502625,100.209206916,4.122888625,28,0,22950.966304634
30,100.119736916,4.122888625,100.209206916,4.033274625,29,0,21183.4103218689
31,100.119736916,4.033274625,100.209206916,3.943660625,30,0,20736.8803312871
32,100.119736916,3.943660625,100.209206916,3.854046625,31,0,21044.8340715389
33,100.119736916,3.854046625,100.209206916,3.764432625,32,0,20989.880030467
34,100.119736916,3.764432625,100.209206916,3.674818625,33,0,20512.7142150617
35,100.119736916,3.674818625,100.209206916,3.585204625,34,0,19784.3435875258
36,100.119736916,3.585204625,100.209206916,3.495590625,35,0,20235.809479522
37,100.119736916,3.495590625,100.209206916,3.405976625,36,0,21232.9468024088
38,100.119736916,3.405976625,100.209206916,3.316362625,37,0,21548.8223856482
39,100.119736916,3.316362625,100.209206916,3.226748625,38,0,21704.5788990821
40,100.119736916,3.226748625,100.209206916,3.137134625,39,0,21850.4612495646
41,100.119736916,3.137134625,100.209206916,3.047520625,40,0,21971.3261358007
42,100.119736916,3.047520625,100.209206916,2.957906625,41,0,22171.2889022256
43,100.119736916,2.957906625,100.209206916,2.868292625,42,0,22366.8194809001
44,100.119736916,2.868292625,100.209206916,2.778678625,43,0,22417.0494334539
45,100.119736916,2.778678625,100.209206916,2.689064625,44,0,22304.5023070681
46,100.119736916,2.689064625,100.209206916,2.599450625,45,0,21971.6231962828
